(90.43862, 23.762538)
(90.4386, 23.76202)
(90.438563, 23.761615)
(90.438527, 23.761222)
(90.438492, 23.760799)
(90.438457, 23.760401)
(90.438455, 23.76038)
(90.438422, 23.760009)
(90.439071, 23.759967)
(90.439165, 23.759208)
(90.44006, 23.758633)
(90.440347, 23.758616)
(90.440372, 23.758086)
(90.440402, 23.757013)
(90.441074, 23.756978)
(90.441385, 23.756469)
(90.44134, 23.756092)
(90.441318, 23.755943)
(90.441301, 23.755796)
(90.44126, 23.755458)
(90.441219, 23.755094)
(90.441182, 23.754762)
(90.441175, 23.754708)
(90.441098, 23.754013)
(90.441095, 23.753952)
(90.440645, 23.753936)
(90.440218, 23.753933)
(90.440212, 23.753578)
(90.440222, 23.753242)
(90.440224, 23.752915)
(90.440226, 23.752584)
(90.440229, 23.752252)
